ticker,official_name,name,description,sector,industry,website,shortname,stock_type
MAGN,ММК,"""Магнитогорск.мет.комб"" ПАО - обыкн.","ОАО Магнитогорский металлургический комбинат (ОАО ММК) — это расположенная в России компания, ведущая деятельность в сталелитейной сфере. Её основная продукция — это агломерат, кокс, железо, сырая сталь, руда и прокатные продукты. Компания предлагает большой спектр продуктов, таких как прут, арматура, арматура для железобетона, круглая и плоская арматура и другие. ОАО Магнитогорский металлургический комбинат является поставщиком для таких индустрий, как: трубопроводы, машиностроение, железные дороги, строительство и судостроение и другие. Компания работает в РФ и экспортирует свою продукцию в СНГ, Азию, Ближний Восток и страны Европы.",Несырьевые полезные ископаемые,Сталь,http://www.mmk.ru/,ММК,Обыкновенная
MFGS,Мегион-ао,"""Славнефть-Мегионнефтегаз"" - обыкн.",Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/,Мегион-ао,Обыкновенная
MFGSP,Мегион-ап,ап Мегионнефтегаз,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/,Мегион-ап,Привилегированная
MGKL,МГКЛ,МГКЛ - обыкн.,Unknown,Розничная торговля,Ломбарды и ресейл,Unknown,МГКЛ,Обыкновенная
MISB,ТНСэнМарЭл,ТНС энерго Марий Эл ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/,ТНСэнМарЭл,Обыкновенная
MISBP,ТНСэМаЭл-п,ТНС энерго Марий Эл ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/,ТНСэМаЭл-п,Привилегированная
MOEX,МосБиржа,ПАО Московская Биржа,"ПАО «Московская Биржа ММВБ-РТС» — биржевой холдинг, управляющий Московской фондовой биржей. Компания занимается торговлей, клиринговыми и расчетными услугами на денежном, валютном и товарном рынках, а также операциями на рынках государственных ценных бумаг, производных финансовых инструментов, акций, корпоративных и региональных облигаций. Помимо этого, компания предоставляет услуги по организации электронной торговли, клирингу и расчетам по сделкам, а также кастодиальные и информационные услуги. Кроме того, она ведет торговлю акциями, облигациями, деривативами, валютой, инструментами денежного и товарного рынков. Московская Биржа осуществляет свою деятельность посредством следующих сегментов: Торговые услуги, Клиринговые услуги, Расчетно-депозитарные услуги. Сегмент торговых услуг предоставляет услуги, связанные с торговлей на валютном рынке, рынке ценных бумаг, рынке деривативов и денежном рынке, листинг и прочее. Сегмент клиринговых услуг включает в себя в основном клиринговые услуги в роли центрального контрагента и другие клиринговые услуги. В сегмент расчетно-депозитарных услуг входит оказание участникам биржевого и внебиржевого рынков услуг по регистрации внебиржевых сделок (репозитарные услуги), управлению обеспечением, а также информационные услуги. Компания была основана 13 марта 1992 года. Штаб-квартира расположена в Москве, Россия.",Финансы,"Инвестиционные банки, брокеры",http://www.moex.com/,МосБиржа,Обыкновенная
MRKC,РоссЦентр,"ПАО ""Россети Центр"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-1.ru/,РоссЦентр,Обыкновенная
MRKK,Россети СК,Россети Сев. Кавказ - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sk.ru/,Россети СК,Обыкновенная
MRKP,РСетиЦП ао,Россети Центр и Приволжье - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-cp.ru/,РСетиЦП ао,Обыкновенная
MRKS,РсетСиб ао,Россети Сибирь - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sib.ru/,РсетСиб ао,Обыкновенная
MRKU,Россети Ур,Россети Урал (ПАО) - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-ural.ru/,Россети Ур,Обыкновенная
MRKV,РсетВол ао,Россети Волга - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-volgi.ru/,РсетВол ао,Обыкновенная
MRKY,РоссЮг ао,Россети Юг (ПАО) - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,Unknown,РоссЮг ао,Обыкновенная
MRKZ,РСетиСЗ ао,ПАО Россети Северо-Запад - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsksevzap.ru/,РСетиСЗ ао,Обыкновенная
MRSB,МордЭнСб,Мордовск.энергсбыт.комп.ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mesk.ru/,МордЭнСб,Обыкновенная
MSNG,+МосЭнерго,МосЭнерго акции обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mosenergo.ru/,+МосЭнерго,Обыкновенная
MSRS,РСетиМР ао,ПАО Россети Моск.рег. - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rossetimr.ru/,РСетиМР ао,Обыкновенная
MSTT,Мостотрест,"ПАО ""МОСТОТРЕСТ"" - обыкн.",Unknown,Производственно-технические услуги,Инженерные и строительные услуги,http://www.mostotrest.ru/,Мостотрест,Обыкновенная
MTLRP,Мечел ап,Мечел ПАО - прив.,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/,Мечел ап,Привилегированная
MTSS,МТС-ао,Мобильные ТелеСистемы ПАО - обыкн.,"ПАО «Мобильные ТелеСистемы» (МТС) — провайдер мобильной и фиксированной связи и цифровых услуг. Компания предоставляет беспроводной и широкополосный доступ в интернет, а также платное телевидение. МТС осуществляет свою деятельность посредством следующих сегментов: Россия — Конвергент, Московские фиксированные линии, Украина, МТС Банк и Прочее. Сегмент Россия — Конвергент занимается мобильными и фиксированными связями; в него также входят сервисы для клиентов российских регионов: услуги голосовой связи и передачи данных, широкополосный доступ в интернет, платное телевидение, а также различные дополнительные услуги и торговые операции. В сегмент московских фиксированных линий входит проведение операций на линиях фиксированной связи в Москве, выполняемых дочерней компанией. Украинский сегмент отвечает за поставку услуг мобильной и фиксированной связи для многочисленных регионов Украины. Сегмент МТС Банк предоставляет банковские услуги для клиентов в регионах России. Компания была основана в 1993 году. Штаб-квартира расположена в Москве, Россия.",Связь,Беспроводные телекоммуникации,http://www.mts.ru/,МТС-ао,Обыкновенная
NAUK,iНПОНаука,НПО Наука - обыкн.,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.npo-nauka.ru/,iНПОНаука,Обыкновенная
NFAZ,НЕФАЗ,НЕФАЗ ПАО - обыкн.,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.nefaz.ru/,НЕФАЗ,Обыкновенная
NKHP,НКХП ао,НКХП ПАО - обыкн.,Unknown,Транспорт,Прочие виды транспорта,http://www.novoroskhp.ru/,НКХП ао,Обыкновенная
NKNC,НКНХ ао,"""Нижнекамскнефтехим"" ПАО - обыкн.",Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.nknh.ru/,НКНХ ао,Обыкновенная
NKNCP,НКНХ ап,"""Нижнекамскнефтехим"" ПАО - прив.",Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.nknh.ru/,НКНХ ап,Привилегированная
