ticker,official_name,name,description,sector,industry,website
STSBP,СтаврЭнСбп,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.staves.ru/
SVCB,Совкомбанк,Unknown,Unknown,Unknown,Unknown,Unknown
TASB,ТамбЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tesk.tmb.ru/
TASBP,ТамбЭнСб-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tesk.tmb.ru/
TGKA,ТГК-1,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc1.ru/
TGKB,ТГК-2,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc-2.ru/
TGKBP,ТГК-2 ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc-2.ru/
TGKN,ТГК-14,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgk-14.com/
TORS,РСТомск ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.trk.tom.ru/
TORSP,РСТомск ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.trk.tom.ru/
TRMK,ТМК ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.tmk-group.ru/
TTLK,Таттел. ао,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.tattelecom.ru/
TUZA,ТЗА ао,Unknown,Unknown,Транспорт,Грузоперевозки,http://www.tzacom.ru/
UGLD,ЮГК,Unknown,Unknown,Unknown,Unknown,Unknown
UNAC,iАвиастКао,Unknown,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.uacrussia.ru/
UPRO,Юнипро ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.unipro.energy/
USBN,УралСиб ао,Unknown,Unknown,Финансы,Региональные банки,http://www.uralsib.ru/
UTAR,ЮТэйр ао,Unknown,Unknown,Транспорт,Авиакомпании,http://www.utair.ru/
